DevelopmentTool:Application,Multimedia:Programming,CommunicationTechnology:ApplicationTechnology,HumanOrientedTool:SystemTool,ConventionalCommunication:NovelCommunication,OnlyActAsProgrammed:Semi-autonomous,ConventionalSystem:IntelligentSystem,TargetedOnInterface:TargetedOnOverallSystem,thingX
5,2,1,2,1,1,1,1,ElectronicPublishing
3,1,3,1,5,4,1,1,VirtualReality
3,1,1,1,3,1,1,1,MultimediaAndHypermedia
1,5,3,1,4,1,1,1,VisualProgramming
1,5,2,3,1,1,1,1,CrossPlatformGUIs
1,5,5,5,1,1,1,5,ObjectOrientedSystems
1,5,4,3,4,1,5,5,KnowledgeBasedSystems
3,5,3,2,5,5,5,5,IntelligentAgents
5,1,1,2,4,3,1,3,InformationHighway
5,2,1,2,4,1,1,3,BroadbandNetworks
